农学,090101
 机械维修及检测技术教育,	 040314
 电气技术教育	, 040316
 应用电子技术教育,	 040318
 印刷工艺教育	 ,040320
 食品工艺教育	 ,040322
 染整工艺教育	 ,040324
 化工分析与检测技术教育	, 040326
 建筑工程教育	 ,040328
 装潢设计与工艺教育,	 040330
 食品营养与检验教育,	 040332
 财务会计教育	 ,040334
 市场营销教育	 ,040336
 历史学	 ,060101
 考古学	, 060103
 民族学	, 060105
 世界历史	 ,060102
 博物馆学	 ,060104
 文物保护技术,	 060106
 采矿工程	 ,080101
 矿物加工工程	, 080103
 资源勘查工程	, 080105
 矿物资源工程	 ,080107
 地下水科学与工程	, 080109
 金属材料工程	 ,080202
 高分子材料与工程	, 080204
 复合材料与工程	, 080206
 宝石及材料工艺学	 ,080208
 再生资源科学与技术,	 080210
 高分子材料加工工程,	 080212
 机械设计制造及其自动化,	 080251
 工业设计	 ,080253
 机械工程及自动化	, 080305
 机械电子工程	 ,080307
 制造自动化与测控技术	, 080309
 制造工程	 ,080311
 测控技术与仪器	 ,080401
 热能与动力工程	 ,080501
 工程物理	 ,080503
 能源工程及自动化	, 080505
 风能与动力工程	, 080507
 辐射防护与环境工程,	 080509
 电气工程及其自动化,	 080601
 电子信息工程	 ,080603
 计算机科学与技术	, 080605
 生物医学工程	 ,080607
 信息工程	 ,080609
 软件工程	 ,080611
 网络工程	 ,080613
 集成电路设计与集成系统	, 080615
 广播电视工程	 ,080617
 计算机软件	 ,080619
 微电子制造工程,	 080621
 数字媒体艺术	 ,080623
 信息物理工程	 ,080625
 智能科学与技术,	 080627
 医学影像工程	, 080629
 电磁场与无线技术,	 080631
 电气工程与智能控制,	 080633
 建筑学	 ,080701
 土木工程	 ,080703
 给水排水工程	, 080705
 历史建筑保护工程	, 080707
 水务工程	, 080709
 给排水科学与工程	, 080711
 景观学	, 080713
 道路桥梁与渡河工程	, 080724
 水文与水资源工程	 ,080802
 港口海岸及治河工程,	 080804
 测绘工程	 ,080901
 空间信息与数字技术	, 080903
 安全工程	, 081002
 灾害防治工程	, 081004
 环境监察	, 081006
 化学工程与工艺	, 081101
 化工与制药	 ,081103
 资源科学与工程,	 081105
 交通工程	 ,081202
 飞行技术	, 081204
 轮机工程	 ,081206
 海事管理	 ,081208
 交通建设与装备,	 081210
 食品科学与工程,	 081401
 包装工程	, 081403
 纺织工程	 ,081405
 食品质量与安全	, 081407
 葡萄与葡萄酒工程	 ,081409
 农产品质量与安全	 ,081411
 数字印刷	, 081413
 粮食工程	, 081415
 飞行器动力工程,	 081502
 飞行器环境与生命保障工程	, 081504
 工程力学与航天航空工程	 ,081506
 质量与可靠性工程	, 081508
 探测制导与控制技术,	 081602
 特种能源工程与烟火技术	, 081604
 信息对抗技术	, 081606
 工程力学	 ,081701
 生物工程	, 081801
 农业电气化与自动化	, 081902
 农业水利工程	, 081904
 生物系统工程	, 081906
 木材科学与工程,	 082002
 刑事科学技术	, 082101
 安全防范工程	, 082103
 核生化消防	, 082105
 石油工程	 ,080102
 勘查技术与工程	, 080104
 地质工程	 ,080106
 煤及煤层气工程,	 080108
 冶金工程,	 080201
 无机非金属材料工程,	 080203
 材料科学与工程	, 080205
 焊接技术与工程	, 080207
 粉体材料科学与工程,	 080209
 稀土工程	 ,080211
 生物功能材料	 ,080213
 材料成型及控制工程	, 080252
 过程装备与控制工程	, 080254
 车辆工程	 ,080306
 汽车服务工程,	 080308
 微机电系统工程,	 080310
 体育装备工程	, 080312
 电子信息技术及仪器,	 080402
 核工程与核技术	, 080502
 能源与环境系统工程,	 080504
 能源动力系统及自动化,	 080506
 核技术	, 080508
 核化工与核燃料工程	, 080510
 自动化	 ,080602
 通信工程	 ,080604
 电子科学与技术	, 080606
 电气工程与自动化	, 080608
 光源与照明	, 080610
 影视艺术技术,	 080612
 信息显示与光电技术,	 080614
 光电信息工程	, 080616
 电气信息工程	, 080618
 电力工程与管理,	 080620
 假肢矫形工程	, 080622
 医学信息工程	, 080624
 医疗器械工程	, 080626
 数字媒体技术	, 080628
 真空电子技术	, 080630
 电信工程及管理,	 080632
 信息与通信工程,	 080634
 城市规划	 ,080702
 建筑环境与设备工程,	 080704
 城市地下空间工程,	 080706
 景观建筑设计	 ,080708
 建筑设施智能技术,	 080710
 建筑电气与智能化	, 080712
 风景园林	 ,080714
 水利水电工程,	 080801
